Nombre,Tipo,Fecha inicio,Fecha fin,GPS,Municipio,Idioma,Precio,Provincia
Programa Hatortxu Rock 2022,Concierto,20220729,20220730,"42.83427,-1.608337",Villava/Atarrabia,,Bonos y entradas por día (30<50 €),Navarra
Dantza Plazetan 2022: Ondalan Erraldoien Konpartza,Danza,20220730,20220730,"43.256963,-2.923441",Bilbao,,Gratis,Bizkaia
Dna 2022: Nik.Eu Residencia De Sayoa Belarra / Ixa,Danza,20220701,20220730,"42.1564,-1.67774",Castejón,,Gratuito,Navarra
"Doble Ele, Exposición De Lucia C.Pino",Exposición,20220430,20220730,"43.256963,-2.923441",Bilbao,,Gratis,Bizkaia
Curso De Danzas Presanferminero,Formación,20220524,20220730,"42.817643,-1.648541",Pamplona/Iruña,,40 €,Navarra
La Reina Del Arga,Teatro,20220730,20220730,"42.447156,-1.678924",Olite/Erriberri,ES,Gratis,Navarra
Las Que Limpian,Teatro,20220730,20220730,"42.447156,-1.678924",Olite/Erriberri,ES,10€-18€,Navarra
Barrence Whitfield & The Savages + Los Chicos + Flamingo Tours,Concierto,20220730,20220730,"42.846718,-2.671635",Vitoria-Gasteiz,,20€-25€,Araba
Lucía C. Pino: Doble Ele,Exposición,20220430,20220730,"43.256963,-2.923441",Bilbao,,Gratis,Bizkaia
Xutik,Concierto,20220730,20220730,"43.493343207,-1.4747428894",Bayonne,EU,Gratis,Iparralde
Programa Musikaire 2022 En Elorrio,Festival,20220702,20220730,"43.130386,-2.542155",Elorrio,,Gratis,Bizkaia
Arabako Plazetan 2022: Babo Royal,Teatro,20220730,20220730,"43.153368,-3.026491",Okondo,,Gratuito,Araba
Arabako Plazetan 2022: Al Otro Lado / Bestaldean,Teatro,20220730,20220730,"42.626684,-2.497532",Bernedo,,Gratuito,Araba
Arabako Plazetan 2022: Festamentua,Danza,20220730,20220730,"42.566068,-2.633635",Leza,EU,Gratis,Araba
Bastidako Kale Antzerkia 2022: La Herencia,Teatro,20220730,20220730,"42.590459,-2.792992",Labastida,,Gratis,Araba
Le Sentier Poã©Tique,Exposición,20220702,20220730,"43.1637466,-1.2369923",Saint-Jean-Pied-de-Port,,Gratis,Iparralde
Kristonak,Concierto,20220730,20220730,"43.493343207,-1.4747428894",Bayonne,EU,Gratis,Iparralde
“Bilbao Izan”,Otro,20220705,20220730,"43.256963,-2.923441",Bilbao,,Gratis (inscripción),Bizkaia
Musikaire 2022: De Neanderthal A Sapiens,Danza,20220730,20220730,"43.130386,-2.542155",Elorrio,,Gratis,Bizkaia
Korterraza Araba 2022 (Etura),Proyección Audiovisual,20220730,20220730,"42.895454,-2.480199",Barrundia,,Gratis,Araba
Cine Al Aire Libre: Agur Etxebeste!,Proyección Audiovisual,20220730,20220730,"43.215187,-2.415702",Elgoibar,EU,Gratis,Gipuzkoa
Korterraza Araba 2022 (Valle Salado),Proyección Audiovisual,20220730,20220730,"42.802352,-2.982607",Añana,,Gratis,Araba
Korterraza Araba 2022 (Zuazo De Cuartango),Proyección Audiovisual,20220730,20220730,"42.885173,-2.917596",Kuartango,,Gratis,Araba
Korterraza Araba 2022 (Ullíbarri-Jáuregui),Proyección Audiovisual,20220730,20220730,"42.329003,-2.861402",San Millán,,Gratis,Araba
Ciclo Internacional De Órgano Flysch 2022 (Deba): Jon Laukvik,Concierto,20220730,20220730,"43.295562,-2.353894",Deba,,Gratis,Gipuzkoa
Bertso Jaialdia: Amets Arzallus + Andoni Egaña + Nerea Ibarzabal + Oihana Iguaran + Agin Laburu + Maialen Lujanbio,Bertsolarismo,20220730,20220730,"43.189944,-2.052454",Villabona,EU,Gratis,Gipuzkoa
Bertso Saioa: Miren Amuriza + Sebastian Lizaso,Bertsolarismo,20220730,20220730,"43.036248,-2.504542",Aretxabaleta,EU,Gratis,Gipuzkoa
Bertso Jaialdia: Uxue Alberdi + Unai Iturriaga + Paule Ixiar Loizaga + Josu Sanjurjo,Bertsolarismo,20220730,20220730,"43.362286,-3.012567",Getxo,EU,Gratis,Bizkaia
Victoria Moon Y La Maleta De Las Olvidadas,Teatro,20220730,20220730,"43.40443,-2.950102",Plentzia,ES,Gratis,Bizkaia
Galtzagorri Rock Festival 2022: Delion + Hrs + Dresden,Festival,20220730,20220730,"42.846718,-2.671635",Vitoria-Gasteiz,,Gratis,Araba
Festival  Ciclo Internacional De Órgano Flysch 2022,Festival,20220702,20220730,"43.278322,-2.126597",Orio,,Gratis,Gipuzkoa
